time,open,close,high,low 
2021-04-06 06:22:00,1.18134,1.18124,1.18136,1.18115
2021-04-06 06:23:00,1.18121,1.18117,1.18126,1.18112
2021-04-06 06:24:00,1.18117,1.18130,1.18134,1.18114
2021-04-06 06:25:00,1.18132,1.18153,1.18153,1.18132
2021-04-06 06:26:00,1.18152,1.18147,1.18153,1.18144
2021-04-06 06:27:00,1.18146,1.18140,1.18147,1.18132
2021-04-06 06:28:00,1.18139,1.18135,1.18143,1.18130
2021-04-06 06:29:00,1.18135,1.18130,1.18135,1.18128
2021-04-06 06:30:00,1.18130,1.18113,1.18130,1.18112
2021-04-06 06:31:00,1.18114,1.18108,1.18115,1.18108
2021-04-06 06:32:00,1.18108,1.18110,1.18115,1.18104
2021-04-06 06:33:00,1.18109,1.18112,1.18112,1.18103
2021-04-06 06:34:00,1.18113,1.18119,1.18123,1.18111
2021-04-06 06:35:00,1.18119,1.18098,1.18119,1.18097
2021-04-06 06:36:00,1.18100,1.18099,1.18109,1.18098
2021-04-06 06:37:00,1.18099,1.18091,1.18099,1.18086
2021-04-06 06:38:00,1.18092,1.18086,1.18094,1.18086
2021-04-06 06:39:00,1.18086,1.18081,1.18086,1.18077
2021-04-06 06:40:00,1.18081,1.18086,1.18086,1.18073
2021-04-06 06:41:00,1.18087,1.18092,1.18106,1.18087
2021-04-06 06:42:00,1.18090,1.18080,1.18096,1.18078
2021-04-06 06:43:00,1.18081,1.18074,1.18082,1.18060
2021-04-06 06:44:00,1.18075,1.18061,1.18088,1.18059
2021-04-06 06:45:00,1.18062,1.18052,1.18062,1.18051
2021-04-06 06:46:00,1.18053,1.18047,1.18060,1.18040
2021-04-06 06:47:00,1.18045,1.18059,1.18073,1.18045
2021-04-06 06:48:00,1.18060,1.18048,1.18064,1.18048
2021-04-06 06:49:00,1.18044,1.18073,1.18073,1.18043
2021-04-06 06:50:00,1.18073,1.18069,1.18074,1.18063
2021-04-06 06:51:00,1.18070,1.18051,1.18070,1.18051
2021-04-06 06:52:00,1.18051,1.18060,1.18063,1.18043
2021-04-06 06:53:00,1.18059,1.18064,1.18065,1.18058
2021-04-06 06:54:00,1.18061,1.18037,1.18061,1.18037
2021-04-06 06:55:00,1.18037,1.18050,1.18050,1.18037
2021-04-06 06:56:00,1.18049,1.18050,1.18050,1.18047
2021-04-06 06:57:00,1.18048,1.18033,1.18048,1.18027
2021-04-06 06:58:00,1.18033,1.18038,1.18040,1.18028
